"","Hs","Ht","Gst","Gprime_st","D"
"RADR402",0.825337983716841,0.872277298919072,0.0538123773946635,0.32263097259185,0.282180877165876
"RAAU12922",0.812906934086741,0.860723442491534,0.0555538585847951,0.310914639764243,0.268354861683167
"RAAU6608",0.038383039066795,0.0410829641445571,0.065718848042755,0.0715240996212799,0.00294807750572436
"RAAU5882",0.733886417429596,0.796418265175083,0.0785163405710449,0.308589173139362,0.246730886482997
"RADR413",0.831361691332779,0.855606104348862,0.028335951430049,0.176179749740634,0.15095403807163
"RADR404",0.817034079853639,0.881266415717431,0.0728863992978798,0.416759741336825,0.36861483604723
"RADR409",0.589876461559807,0.656328693429671,0.101248402721226,0.257910931008979,0.170131282219812
"RADR410",0.555042940496222,0.579651333657362,0.0424537851157382,0.0999693157932737,0.0580703514357397
"RADR408",0.790721158702361,0.849169906029771,0.068830450669975,0.34415376247109,0.29325078595259
